住居名,url,家賃,住所,最寄り駅,岡山駅までの距離,学校までの距離,間取り,専用設備,共通設備
クレストール津島京町,https://unilife.co.jp/view/12368,3.6万円 ～ 4.15万円,岡山県岡山市北区津島京町3丁目3-13,"岡電バス「岡山商大前」停徒歩1分
ＪＲ津山線「法界院」駅 自転車12分(約2.7km)",3.1 km,130 m,1K／20.9m²／6.1帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 温水洗浄便座 / IHコンロ(1口) / 家具付(一部) / 家電付(一部) / 居室照明器具 / フローリング / バルコニー / 収納 / シューズケース / 防犯ディンプルキー / エアコン,インターネット対応（無料） / 防犯カメラ / 宅配BOX / 駐輪場
Y・N・G西坂Ⅲ,https://unilife.co.jp/view/10169,4.3万円 ～ 4.7万円,岡山県岡山市北区津島西坂2丁目6-11,"岡電バス「明誠学院前」停徒歩4分
ＪＲ吉備線「備前三門」駅 自転車12分(約2.7km)",2.9 km,450 m,1K／24.02m²～27.03m²／8帖～8.3帖,セパレート（バス・トイレ） / 独立洗面化粧台(一部) / 洗濯機置場(室内) / 温水洗浄便座 / IHコンロ(2口) / フローリング / 収納 / シューズケース / インターフォン / エアコン / オール電化(ガス無し),BSアンテナ / インターネット対応 / オートロック / 駐車場(任意) / 駐輪場(原付可)
Y・N・G西坂Ⅴ,https://unilife.co.jp/view/10170,4.4万円 ～ 4.9万円,岡山県岡山市北区津島西坂2丁目6-25,"岡電バス「明誠学院前」停徒歩4分
ＪＲ山陽本線「岡山」駅 自転車13分(約3.1km)
ＪＲ津山線「法界院」駅 自転車11分(約2.6km)",2.8 km,450 m,1K～5SLDK／25.7m²～28.8m²／8帖～10帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / RHコンロ(2口) / フローリング / 収納 / シューズケース / インターフォン / エアコン / オール電化(ガス無し),BSアンテナ / インターネット対応 / オートロック / エレベーター / 駐車場(任意) / 駐輪場(原付可)
Y・N・G西坂Ⅳ,https://unilife.co.jp/view/10171,4.3万円 ～ 4.6万円,岡山県岡山市北区津島西坂2丁目6-1,"岡電バス・中鉄バス「明誠学院前」停徒歩4分
ＪＲ津山線「法界院」駅 自転車11分(約2.6km)",3.0 km,450 m,1K／24.97m²／8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / RHコンロ(2口) / フローリング / バルコニー / 収納 / シューズケース / インターフォン / エアコン / オール電化(ガス無し),BSアンテナ / インターネット対応 / オートロック / 駐車場(任意) / 駐輪場(原付可)
パーティアム津高,https://unilife.co.jp/view/10077,3.3万円 ～ 3.5万円,岡山県岡山市北区富原2900,"岡電バス「小幸田口」停 徒歩13分
ＪＲ津山線「法界院」駅 自転車20分(約4.8km)",5.2 km,2.3 km,1DK／26.49m²／10.5帖～11.5帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(1口) / 居室照明器具 / フローリング / バルコニー / 収納 / シューズケース / インターフォン / エアコン / 個別給湯（ガス）,BSアンテナ / インターネット対応 / 駐車場(任意) / 駐輪場(原付可)
アバンティ学南町,https://unilife.co.jp/view/10605,3.95万円 ～ 4.95万円,岡山県岡山市北区学南町1丁目17-20,"岡電バス「大和町」停徒歩6分
ＪＲ津山線「法界院」駅 徒歩8分",2.1 km,2.4 km,1K／22.3m²～26.4m²／9.4帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(持込) / 家具家電付(一部) / フローリング / バルコニー / 収納 / シューズケース / インターフォン / エアコン / 個別給湯（ガス）,プロパンガス / BSアンテナ / インターネット(Wi-Fi対応) / 自動販売機 / 駐輪場(原付可) / 駐車場(任意)
AIBO大和町,https://unilife.co.jp/view/12436,5.2万円 ～ 5.45万円,岡山県岡山市北区大和町1丁目25-5,"岡電バス「大和町」停徒歩4分
ＪＲ津山線「法界院」駅 徒歩13分",1.9 km,2.5 km,1K／29.7m²／9帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / 浴室乾燥機 / IHコンロ(2口) / 居室照明器具 / サンルーム / 収納 / シューズケース / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン,プロパンガス / インターネット対応（無料） / 防犯カメラ / 宅配BOX / 駐輪場(原付可)
アクティブ北方,https://unilife.co.jp/view/10173,4.4万円 ～ 4.5万円,岡山県岡山市北区北方2丁目1-13,"岡電バス「法界院駅前」停徒歩2分
ＪＲ津山線「法界院」駅 徒歩4分",2.7 km,2.9 km,1K／18.69m²／7帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(持込) / 家電付(一部) / 家具付(一部) / 居室照明器具 / フローリング / バルコニー / 収納 / インターフォン（TVモニター付) / エアコン / 個別給湯（ガス）,プロパンガス / インターネット対応 / 駐輪場(原付可)
学生会館 津島HUB【食事付き】,https://unilife.co.jp/view/12157,4.85万円 ～ 5.85万円,岡山県岡山市北区津島東4丁目,"岡電バス「津島東3丁目」停　徒歩3分
ＪＲ津山線「法界院」駅 徒歩12分",3.6 km,2.8 km,1K／20.5m²／6帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機 / 洗濯機置場(室内) / 浴室乾燥機 / 温水洗浄便座 / IHコンロ / 家具家電付 / 冷蔵庫（２ドア） / 居室照明器具 / 電子レンジ / ベッド / バルコニー / フローリング / 収納 / シューズケース / 吊棚 / インターフォン（TVモニター付) / 暗証番号式キー / エアコン / 個別給湯（ガス）,プロパンガス / BSアンテナ / インターネット(Wi-Fi対応) / オートロック / 防犯カメラ（ユニセーフ24仕様） / 宅配BOX / 自動販売機 / 駐輪場(原付可) / 食堂（UniTimeKitchen仕様） / ユニタイムラウンジ / コミュニティルーム
学生会館 津島HUB ANNEX【食事付き】,https://unilife.co.jp/view/12417,5.5万円 ～ 5.95万円,岡山県岡山市北区津島東4丁目18-22,"岡電バス「津島東3丁目」停徒歩3分
ＪＲ津山線「法界院」駅 徒歩12分",3.5 km,3.0 km,22.6m²／7.3帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機 / 洗濯機置場(室内) / 浴室乾燥機 / 温水洗浄便座 / IHコンロ / 家具家電付 / 冷蔵庫（２ドア） / 居室照明器具 / 電子レンジ / ベッド / バルコニー / フローリング / シューズケース / 吊棚 / 収納 / インターフォン（TVモニター付) / 暗証番号式キー / エアコン,プロパンガス / BSアンテナ / インターネット(Wi-Fi対応) / U-NEXTビデオ見放題(無料体験) / オートロック / 防犯カメラ / 宅配BOX / 駐輪場(原付可)
